intervention_reliability,policy,utility,recovery
1.0,random,0.9,1.0
1.0,oracle,0.9,1.0
0.8,qrtc,0.7,1.0
0.8,qrtc_no_abstention,-0.2,0.0
0.8,qrtc_untyped,0.7,1.0
0.8,greedy_gain,-0.2,0.0
0.8,end_to_end,0.7,1.0
0.8,highest_stage_posterior,-0.2,0.0
0.8,cheapest_first,-0.175,0.0
0.8,random,-0.2,0.0
0.8,oracle,0.7,1.0
1.0,qrtc,0.7,1.0
1.0,qrtc_no_abstention,-0.2,0.0
1.0,qrtc_untyped,0.7,1.0
1.0,greedy_gain,-0.2,0.0
1.0,end_to_end,0.7,1.0
1.0,highest_stage_posterior,-0.2,0.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.3,0.0
1.0,oracle,0.7,1.0
0.8,qrtc,0.55,1.0
0.8,qrtc_no_abstention,-0.25,0.0
0.8,qrtc_untyped,0.55,1.0
0.8,greedy_gain,-0.25,0.0
0.8,end_to_end,0.55,1.0
0.8,highest_stage_posterior,-0.25,0.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.4,0.0
0.8,oracle,0.55,1.0
1.0,qrtc,0.55,1.0
1.0,qrtc_no_abstention,-0.25,0.0
1.0,qrtc_untyped,0.55,1.0
1.0,greedy_gain,-0.25,0.0
1.0,end_to_end,0.55,1.0
1.0,highest_stage_posterior,-0.25,0.0
1.0,cheapest_first,-0.175,0.0
1.0,random,-0.05,0.0
1.0,oracle,0.55,1.0
0.8,qrtc,0.75,1.0
0.8,qrtc_no_abstention,-0.2,0.0
0.8,qrtc_untyped,-0.25,0.0
0.8,greedy_gain,-0.2,0.0
0.8,end_to_end,-0.25,0.0
0.8,highest_stage_posterior,-0.2,0.0
0.8,cheapest_first,-0.05,0.0
0.8,random,-0.2,0.0
0.8,oracle,0.75,1.0
1.0,qrtc,0.75,1.0
1.0,qrtc_no_abstention,-0.2,0.0
1.0,qrtc_untyped,-0.25,0.0
1.0,greedy_gain,-0.2,0.0
1.0,end_to_end,-0.25,0.0
1.0,highest_stage_posterior,-0.2,0.0
1.0,cheapest_first,-0.05,0.0
1.0,random,-0.05,0.0
1.0,oracle,0.75,1.0
0.8,qrtc,0.95,1.0
0.8,qrtc_no_abstention,0.8,1.0
0.8,qrtc_untyped,0.75,1.0
0.8,greedy_gain,0.8,1.0
0.8,end_to_end,0.75,1.0
0.8,highest_stage_posterior,0.8,1.0
0.8,cheapest_first,0.95,1.0
0.8,random,0.8,1.0
0.8,oracle,0.95,1.0
1.0,qrtc,0.95,1.0
1.0,qrtc_no_abstention,0.8,1.0
1.0,qrtc_untyped,0.75,1.0
1.0,greedy_gain,0.8,1.0
1.0,end_to_end,0.75,1.0
1.0,highest_stage_posterior,0.8,1.0
1.0,cheapest_first,0.95,1.0
1.0,random,-0.375,0.0
1.0,oracle,0.95,1.0
0.8,qrtc,0.7,1.0
0.8,qrtc_no_abstention,-0.2,0.0
0.8,qrtc_untyped,-0.30000000000000004,0.0
0.8,greedy_gain,-0.2,0.0
0.8,end_to_end,-0.30000000000000004,0.0
0.8,highest_stage_posterior,-0.2,0.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.2,0.0
0.8,oracle,0.7,1.0
1.0,qrtc,0.7,1.0
1.0,qrtc_no_abstention,-0.2,0.0
1.0,qrtc_untyped,-0.30000000000000004,0.0
1.0,greedy_gain,-0.2,0.0
1.0,end_to_end,-0.30000000000000004,0.0
1.0,highest_stage_posterior,-0.2,0.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.1,0.0
1.0,oracle,0.7,1.0
0.8,qrtc,0.9,1.0
0.8,qrtc_no_abstention,0.8,1.0
0.8,qrtc_untyped,0.44999999999999996,1.0
0.8,greedy_gain,0.8,1.0
0.8,end_to_end,0.44999999999999996,1.0
0.8,highest_stage_posterior,0.8,1.0
0.8,cheapest_first,-0.3,0.0
0.8,random,0.9,1.0
0.8,oracle,0.9,1.0
1.0,qrtc,0.9,1.0
1.0,qrtc_no_abstention,0.8,1.0
1.0,qrtc_untyped,0.7,1.0
1.0,greedy_gain,0.8,1.0
1.0,end_to_end,0.7,1.0
1.0,highest_stage_posterior,0.8,1.0
1.0,cheapest_first,-0.3,0.0
1.0,random,0.9,1.0
1.0,oracle,0.9,1.0
0.8,qrtc,0.7,1.0
0.8,qrtc_no_abstention,-0.2,0.0
0.8,qrtc_untyped,-0.30000000000000004,0.0
0.8,greedy_gain,-0.2,0.0
0.8,end_to_end,-0.30000000000000004,0.0
0.8,highest_stage_posterior,-0.2,0.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.45,0.0
0.8,oracle,0.7,1.0
1.0,qrtc,0.7,1.0
1.0,qrtc_no_abstention,-0.2,0.0
1.0,qrtc_untyped,-0.30000000000000004,0.0
1.0,greedy_gain,-0.2,0.0
1.0,end_to_end,-0.30000000000000004,0.0
1.0,highest_stage_posterior,-0.2,0.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.05,0.0
1.0,oracle,0.7,1.0
0.8,qrtc,0.9,1.0
0.8,qrtc_no_abstention,0.8,1.0
0.8,qrtc_untyped,0.7,1.0
0.8,greedy_gain,0.8,1.0
0.8,end_to_end,0.7,1.0
0.8,highest_stage_posterior,0.8,1.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.45,0.0
0.8,oracle,0.9,1.0
1.0,qrtc,0.9,1.0
1.0,qrtc_no_abstention,0.8,1.0
1.0,qrtc_untyped,0.7,1.0
1.0,greedy_gain,0.8,1.0
1.0,end_to_end,0.7,1.0
1.0,highest_stage_posterior,0.8,1.0
1.0,cheapest_first,-0.3,0.0
1.0,random,0.8,1.0
1.0,oracle,0.9,1.0
0.8,qrtc,0.8,1.0
0.8,qrtc_no_abstention,-0.15000000000000002,0.0
0.8,qrtc_untyped,-0.2,0.0
0.8,greedy_gain,-0.15000000000000002,0.0
0.8,end_to_end,-0.2,0.0
0.8,highest_stage_posterior,-0.15000000000000002,0.0
0.8,cheapest_first,-0.05,0.0
0.8,random,-0.35,0.0
0.8,oracle,0.8,1.0
1.0,qrtc,0.8,1.0
1.0,qrtc_no_abstention,-0.15000000000000002,0.0
1.0,qrtc_untyped,-0.2,0.0
1.0,greedy_gain,-0.15000000000000002,0.0
1.0,end_to_end,-0.2,0.0
1.0,highest_stage_posterior,-0.15000000000000002,0.0
1.0,cheapest_first,-0.05,0.0
1.0,random,-0.35,0.0
1.0,oracle,0.8,1.0
0.8,qrtc,0.7,1.0
0.8,qrtc_no_abstention,-0.2,0.0
0.8,qrtc_untyped,-0.30000000000000004,0.0
0.8,greedy_gain,-0.2,0.0
0.8,end_to_end,-0.30000000000000004,0.0
0.8,highest_stage_posterior,-0.2,0.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.4,0.0
0.8,oracle,0.7,1.0
1.0,qrtc,0.7,1.0
1.0,qrtc_no_abstention,-0.2,0.0
1.0,qrtc_untyped,-0.30000000000000004,0.0
1.0,greedy_gain,-0.2,0.0
1.0,end_to_end,-0.30000000000000004,0.0
1.0,highest_stage_posterior,-0.2,0.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.45,0.0
1.0,oracle,0.7,1.0
0.8,qrtc,-0.15000000000000002,0.0
0.8,qrtc_no_abstention,-0.25,0.0
0.8,qrtc_untyped,0.6,1.0
0.8,greedy_gain,-0.25,0.0
0.8,end_to_end,0.6,1.0
0.8,highest_stage_posterior,-0.25,0.0
0.8,cheapest_first,-0.175,0.0
0.8,random,-0.225,0.0
0.8,oracle,0.6,1.0
1.0,qrtc,0.85,1.0
1.0,qrtc_no_abstention,0.75,1.0
1.0,qrtc_untyped,0.6,1.0
1.0,greedy_gain,0.75,1.0
1.0,end_to_end,0.6,1.0
1.0,highest_stage_posterior,0.75,1.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.3,0.0
1.0,oracle,0.85,1.0
0.8,qrtc,0.8,1.0
0.8,qrtc_no_abstention,-0.15000000000000002,0.0
0.8,qrtc_untyped,-0.2,0.0
0.8,greedy_gain,-0.15000000000000002,0.0
0.8,end_to_end,-0.2,0.0
0.8,highest_stage_posterior,-0.15000000000000002,0.0
0.8,cheapest_first,-0.05,0.0
0.8,random,-0.05,0.0
0.8,oracle,0.8,1.0
1.0,qrtc,0.8,1.0
1.0,qrtc_no_abstention,-0.15000000000000002,0.0
1.0,qrtc_untyped,-0.2,0.0
1.0,greedy_gain,-0.15000000000000002,0.0
1.0,end_to_end,-0.2,0.0
1.0,highest_stage_posterior,-0.15000000000000002,0.0
1.0,cheapest_first,-0.05,0.0
1.0,random,-0.05,0.0
1.0,oracle,0.8,1.0
0.8,qrtc,0.8,1.0
0.8,qrtc_no_abstention,-0.15000000000000002,0.0
0.8,qrtc_untyped,0.8,1.0
0.8,greedy_gain,-0.15000000000000002,0.0
0.8,end_to_end,0.8,1.0
0.8,highest_stage_posterior,-0.15000000000000002,0.0
0.8,cheapest_first,-0.05,0.0
0.8,random,-0.35,0.0
0.8,oracle,0.8,1.0
1.0,qrtc,0.8,1.0
1.0,qrtc_no_abstention,-0.15000000000000002,0.0
1.0,qrtc_untyped,0.8,1.0
1.0,greedy_gain,-0.15000000000000002,0.0
1.0,end_to_end,0.8,1.0
1.0,highest_stage_posterior,-0.15000000000000002,0.0
1.0,cheapest_first,-0.05,0.0
1.0,random,-0.5,0.0
1.0,oracle,0.8,1.0
0.8,qrtc,-0.1,0.0
0.8,qrtc_no_abstention,-0.2,0.0
0.8,qrtc_untyped,-0.55,0.0
0.8,greedy_gain,-0.2,0.0
0.8,end_to_end,-0.55,0.0
0.8,highest_stage_posterior,-0.2,0.0
0.8,cheapest_first,-0.175,0.0
0.8,random,-0.275,0.0
0.8,oracle,0.0,0.0
1.0,qrtc,0.9,1.0
1.0,qrtc_no_abstention,0.8,1.0
1.0,qrtc_untyped,0.7,1.0
1.0,greedy_gain,0.8,1.0
1.0,end_to_end,0.7,1.0
1.0,highest_stage_posterior,0.8,1.0
1.0,cheapest_first,-0.175,0.0
1.0,random,0.9,1.0
1.0,oracle,0.9,1.0
0.8,qrtc,0.9,1.0
0.8,qrtc_no_abstention,0.8,1.0
0.8,qrtc_untyped,0.7,1.0
0.8,greedy_gain,0.8,1.0
0.8,end_to_end,0.7,1.0
0.8,highest_stage_posterior,0.8,1.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.4,0.0
0.8,oracle,0.9,1.0
1.0,qrtc,0.9,1.0
1.0,qrtc_no_abstention,0.8,1.0
1.0,qrtc_untyped,0.7,1.0
1.0,greedy_gain,0.8,1.0
1.0,end_to_end,0.7,1.0
1.0,highest_stage_posterior,0.8,1.0
1.0,cheapest_first,-0.3,0.0
1.0,random,0.8,1.0
1.0,oracle,0.9,1.0
0.8,qrtc,0.9,1.0
0.8,qrtc_no_abstention,0.8,1.0
0.8,qrtc_untyped,0.7,1.0
0.8,greedy_gain,0.8,1.0
0.8,end_to_end,0.7,1.0
0.8,highest_stage_posterior,0.8,1.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.05,0.0
0.8,oracle,0.9,1.0
1.0,qrtc,0.9,1.0
1.0,qrtc_no_abstention,0.8,1.0
1.0,qrtc_untyped,0.7,1.0
1.0,greedy_gain,0.8,1.0
1.0,end_to_end,0.7,1.0
1.0,highest_stage_posterior,0.8,1.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.5,0.0
1.0,oracle,0.9,1.0
0.8,qrtc,0.85,1.0
0.8,qrtc_no_abstention,0.75,1.0
0.8,qrtc_untyped,0.6,1.0
0.8,greedy_gain,0.75,1.0
0.8,end_to_end,0.6,1.0
0.8,highest_stage_posterior,0.75,1.0
0.8,cheapest_first,-0.175,0.0
0.8,random,0.85,1.0
0.8,oracle,0.85,1.0
1.0,qrtc,0.85,1.0
1.0,qrtc_no_abstention,0.75,1.0
1.0,qrtc_untyped,0.6,1.0
1.0,greedy_gain,0.75,1.0
1.0,end_to_end,0.6,1.0
1.0,highest_stage_posterior,0.75,1.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.35,0.0
1.0,oracle,0.85,1.0
0.8,qrtc,-0.30000000000000004,0.0
0.8,qrtc_no_abstention,-0.2,0.0
0.8,qrtc_untyped,-0.30000000000000004,0.0
0.8,greedy_gain,-0.2,0.0
0.8,end_to_end,-0.30000000000000004,0.0
0.8,highest_stage_posterior,-0.2,0.0
0.8,cheapest_first,-0.175,0.0
0.8,random,-0.325,0.0
0.8,oracle,0.0,0.0
1.0,qrtc,0.7,1.0
1.0,qrtc_no_abstention,-0.2,0.0
1.0,qrtc_untyped,0.7,1.0
1.0,greedy_gain,-0.2,0.0
1.0,end_to_end,0.7,1.0
1.0,highest_stage_posterior,-0.2,0.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.3,0.0
1.0,oracle,0.7,1.0
0.8,qrtc,0.7,1.0
0.8,qrtc_no_abstention,-0.2,0.0
0.8,qrtc_untyped,0.7,1.0
0.8,greedy_gain,-0.2,0.0
0.8,end_to_end,0.7,1.0
0.8,highest_stage_posterior,-0.2,0.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.3,0.0
0.8,oracle,0.7,1.0
1.0,qrtc,0.7,1.0
1.0,qrtc_no_abstention,-0.2,0.0
1.0,qrtc_untyped,0.7,1.0
1.0,greedy_gain,-0.2,0.0
1.0,end_to_end,0.7,1.0
1.0,highest_stage_posterior,-0.2,0.0
1.0,cheapest_first,-0.175,0.0
1.0,random,-0.375,0.0
1.0,oracle,0.7,1.0
0.8,qrtc,0.7,1.0
0.8,qrtc_no_abstention,-0.2,0.0
0.8,qrtc_untyped,-0.30000000000000004,0.0
0.8,greedy_gain,-0.2,0.0
0.8,end_to_end,-0.30000000000000004,0.0
0.8,highest_stage_posterior,-0.2,0.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.4,0.0
0.8,oracle,0.7,1.0
1.0,qrtc,0.7,1.0
1.0,qrtc_no_abstention,-0.2,0.0
1.0,qrtc_untyped,-0.30000000000000004,0.0
1.0,greedy_gain,-0.2,0.0
1.0,end_to_end,-0.30000000000000004,0.0
1.0,highest_stage_posterior,-0.2,0.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.05,0.0
1.0,oracle,0.7,1.0
0.8,qrtc,0.6,1.0
0.8,qrtc_no_abstention,-0.25,0.0
0.8,qrtc_untyped,0.6,1.0
0.8,greedy_gain,-0.25,0.0
0.8,end_to_end,0.6,1.0
0.8,highest_stage_posterior,-0.25,0.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.3,0.0
0.8,oracle,0.6,1.0
1.0,qrtc,0.6,1.0
1.0,qrtc_no_abstention,-0.25,0.0
1.0,qrtc_untyped,0.6,1.0
1.0,greedy_gain,-0.25,0.0
1.0,end_to_end,0.6,1.0
1.0,highest_stage_posterior,-0.25,0.0
1.0,cheapest_first,-0.175,0.0
1.0,random,-0.325,0.0
1.0,oracle,0.6,1.0
0.8,qrtc,0.8,1.0
0.8,qrtc_no_abstention,0.75,1.0
0.8,qrtc_untyped,0.55,1.0
0.8,greedy_gain,0.75,1.0
0.8,end_to_end,0.55,1.0
0.8,highest_stage_posterior,0.75,1.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.4,0.0
0.8,oracle,0.8,1.0
1.0,qrtc,0.8,1.0
1.0,qrtc_no_abstention,0.75,1.0
1.0,qrtc_untyped,0.55,1.0
1.0,greedy_gain,0.75,1.0
1.0,end_to_end,0.55,1.0
1.0,highest_stage_posterior,0.75,1.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.35,0.0
1.0,oracle,0.8,1.0
0.8,qrtc,0.75,1.0
0.8,qrtc_no_abstention,-0.2,0.0
0.8,qrtc_untyped,-0.25,0.0
0.8,greedy_gain,-0.2,0.0
0.8,end_to_end,-0.25,0.0
0.8,highest_stage_posterior,-0.2,0.0
0.8,cheapest_first,-0.05,0.0
0.8,random,-0.2,0.0
0.8,oracle,0.75,1.0
1.0,qrtc,0.75,1.0
1.0,qrtc_no_abstention,-0.2,0.0
1.0,qrtc_untyped,-0.25,0.0
1.0,greedy_gain,-0.2,0.0
1.0,end_to_end,-0.25,0.0
1.0,highest_stage_posterior,-0.2,0.0
1.0,cheapest_first,-0.05,0.0
1.0,random,-0.4,0.0
1.0,oracle,0.75,1.0
0.8,qrtc,-0.2,0.0
0.8,qrtc_no_abstention,-0.15000000000000002,0.0
0.8,qrtc_untyped,-0.2,0.0
0.8,greedy_gain,-0.15000000000000002,0.0
0.8,end_to_end,-0.2,0.0
0.8,highest_stage_posterior,-0.15000000000000002,0.0
0.8,cheapest_first,-0.05,0.0
0.8,random,-0.45,0.0
0.8,oracle,0.0,0.0
1.0,qrtc,0.8,1.0
1.0,qrtc_no_abstention,-0.15000000000000002,0.0
1.0,qrtc_untyped,-0.2,0.0
1.0,greedy_gain,-0.15000000000000002,0.0
1.0,end_to_end,-0.2,0.0
1.0,highest_stage_posterior,-0.15000000000000002,0.0
1.0,cheapest_first,-0.05,0.0
1.0,random,-0.45,0.0
1.0,oracle,0.8,1.0
0.8,qrtc,0.85,1.0
0.8,qrtc_no_abstention,0.75,1.0
0.8,qrtc_untyped,0.6,1.0
0.8,greedy_gain,0.75,1.0
0.8,end_to_end,0.6,1.0
0.8,highest_stage_posterior,0.75,1.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.05,0.0
0.8,oracle,0.85,1.0
1.0,qrtc,0.85,1.0
1.0,qrtc_no_abstention,0.75,1.0
1.0,qrtc_untyped,0.6,1.0
1.0,greedy_gain,0.75,1.0
1.0,end_to_end,0.6,1.0
1.0,highest_stage_posterior,0.75,1.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.45,0.0
1.0,oracle,0.85,1.0
0.8,qrtc,-0.1,0.0
0.8,qrtc_no_abstention,-0.2,0.0
0.8,qrtc_untyped,0.7,1.0
0.8,greedy_gain,-0.2,0.0
0.8,end_to_end,0.7,1.0
0.8,highest_stage_posterior,-0.2,0.0
0.8,cheapest_first,-0.175,0.0
0.8,random,-0.325,0.0
0.8,oracle,0.7,1.0
1.0,qrtc,0.9,1.0
1.0,qrtc_no_abstention,0.8,1.0
1.0,qrtc_untyped,0.7,1.0
1.0,greedy_gain,0.8,1.0
1.0,end_to_end,0.7,1.0
1.0,highest_stage_posterior,0.8,1.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.5,0.0
1.0,oracle,0.9,1.0
0.8,qrtc,0.95,1.0
0.8,qrtc_no_abstention,0.85,1.0
0.8,qrtc_untyped,0.8,1.0
0.8,greedy_gain,0.85,1.0
0.8,end_to_end,0.8,1.0
0.8,highest_stage_posterior,0.85,1.0
0.8,cheapest_first,0.95,1.0
0.8,random,-0.45,0.0
0.8,oracle,0.95,1.0
1.0,qrtc,0.95,1.0
1.0,qrtc_no_abstention,0.85,1.0
1.0,qrtc_untyped,0.8,1.0
1.0,greedy_gain,0.85,1.0
1.0,end_to_end,0.8,1.0
1.0,highest_stage_posterior,0.85,1.0
1.0,cheapest_first,0.95,1.0
1.0,random,-0.225,0.0
1.0,oracle,0.95,1.0
0.8,qrtc,0.75,1.0
0.8,qrtc_no_abstention,-0.2,0.0
0.8,qrtc_untyped,-0.25,0.0
0.8,greedy_gain,-0.2,0.0
0.8,end_to_end,-0.25,0.0
0.8,highest_stage_posterior,-0.2,0.0
0.8,cheapest_first,-0.05,0.0
0.8,random,-0.5,0.0
0.8,oracle,0.75,1.0
1.0,qrtc,0.75,1.0
1.0,qrtc_no_abstention,-0.2,0.0
1.0,qrtc_untyped,-0.25,0.0
1.0,greedy_gain,-0.2,0.0
1.0,end_to_end,-0.25,0.0
1.0,highest_stage_posterior,-0.2,0.0
1.0,cheapest_first,-0.05,0.0
1.0,random,-0.5,0.0
1.0,oracle,0.75,1.0
0.8,qrtc,0.7,1.0
0.8,qrtc_no_abstention,-0.2,0.0
0.8,qrtc_untyped,0.7,1.0
0.8,greedy_gain,-0.2,0.0
0.8,end_to_end,0.7,1.0
0.8,highest_stage_posterior,-0.2,0.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.05,0.0
0.8,oracle,0.7,1.0
1.0,qrtc,0.7,1.0
1.0,qrtc_no_abstention,-0.2,0.0
1.0,qrtc_untyped,0.7,1.0
1.0,greedy_gain,-0.2,0.0
1.0,end_to_end,0.7,1.0
1.0,highest_stage_posterior,-0.2,0.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.5,0.0
1.0,oracle,0.7,1.0
0.8,qrtc,0.9,1.0
0.8,qrtc_no_abstention,0.8,1.0
0.8,qrtc_untyped,0.7,1.0
0.8,greedy_gain,0.8,1.0
0.8,end_to_end,0.7,1.0
0.8,highest_stage_posterior,0.8,1.0
0.8,cheapest_first,-0.3,0.0
0.8,random,-0.5,0.0
0.8,oracle,0.9,1.0
1.0,qrtc,0.9,1.0
1.0,qrtc_no_abstention,0.8,1.0
1.0,qrtc_untyped,0.7,1.0
1.0,greedy_gain,0.8,1.0
1.0,end_to_end,0.7,1.0
1.0,highest_stage_posterior,0.8,1.0
1.0,cheapest_first,-0.3,0.0
1.0,random,-0.4,0.0
1.0,oracle,0.9,1.0
0.8,qrtc,0.8,1.0
0.8,qrtc_no_abstention,0.75,1.0
0.8,qrtc_untyped,0.55,1.0
0.8,greedy_gain,0.75,1.0
0.8,end_to_end,0.55,1.0
0.8,highest_stage_posterior,0.75,1.0
