policy,trial_id,relation_type,criterion,severity,noise,recovery_regret,cost_regret,harm_regret,total_regret,recovered,utility,oracle_utility
oracle,development:401:FG+FW:strict_masking:0.50:0.00:0:oracle,strict_masking,pi_1,0.5,0.0,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,development:401:FG+FW:strict_masking:0.50:0.05:0:qrtc,strict_masking,pi_1,0.5,0.05,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,development:401:FG+FW:strict_masking:0.50:0.05:0:random,strict_masking,pi_1,0.5,0.05,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
cheapest_first,development:401:FG+FW:strict_masking:0.50:0.05:0:cheapest_first,strict_masking,pi_1,0.5,0.05,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,development:401:FG+FW:strict_masking:0.50:0.05:0:highest_stage_posterior,strict_masking,pi_1,0.5,0.05,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,development:401:FG+FW:strict_masking:0.50:0.05:0:greedy_gain,strict_masking,pi_1,0.5,0.05,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,development:401:FG+FW:strict_masking:0.50:0.05:0:end_to_end,strict_masking,pi_1,0.5,0.05,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,development:401:FG+FW:strict_masking:0.50:0.05:0:oracle,strict_masking,pi_1,0.5,0.05,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,development:401:FG+FW:strict_masking:0.50:0.10:0:qrtc,strict_masking,pi_1,0.5,0.1,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,development:401:FG+FW:strict_masking:0.50:0.10:0:random,strict_masking,pi_1,0.5,0.1,0.0,0.0,1.0,1.0499999999999998,False,-0.4,0.6499999999999999
cheapest_first,development:401:FG+FW:strict_masking:0.50:0.10:0:cheapest_first,strict_masking,pi_1,0.5,0.1,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,development:401:FG+FW:strict_masking:0.50:0.10:0:highest_stage_posterior,strict_masking,pi_1,0.5,0.1,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,development:401:FG+FW:strict_masking:0.50:0.10:0:greedy_gain,strict_masking,pi_1,0.5,0.1,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,development:401:FG+FW:strict_masking:0.50:0.10:0:end_to_end,strict_masking,pi_1,0.5,0.1,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,development:401:FG+FW:strict_masking:0.50:0.10:0:oracle,strict_masking,pi_1,0.5,0.1,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,development:401:FG+FW:strict_masking:0.50:0.20:0:qrtc,strict_masking,pi_1,0.5,0.2,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,development:401:FG+FW:strict_masking:0.50:0.20:0:random,strict_masking,pi_1,0.5,0.2,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
cheapest_first,development:401:FG+FW:strict_masking:0.50:0.20:0:cheapest_first,strict_masking,pi_1,0.5,0.2,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,development:401:FG+FW:strict_masking:0.50:0.20:0:highest_stage_posterior,strict_masking,pi_1,0.5,0.2,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,development:401:FG+FW:strict_masking:0.50:0.20:0:greedy_gain,strict_masking,pi_1,0.5,0.2,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,development:401:FG+FW:strict_masking:0.50:0.20:0:end_to_end,strict_masking,pi_1,0.5,0.2,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,development:401:FG+FW:strict_masking:0.50:0.20:0:oracle,strict_masking,pi_1,0.5,0.2,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,development:401:FG+FW:strict_masking:0.75:0.00:0:qrtc,strict_masking,pi_1,0.75,0.0,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,development:401:FG+FW:strict_masking:0.75:0.00:0:random,strict_masking,pi_1,0.75,0.0,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
cheapest_first,development:401:FG+FW:strict_masking:0.75:0.00:0:cheapest_first,strict_masking,pi_1,0.75,0.0,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,development:401:FG+FW:strict_masking:0.75:0.00:0:highest_stage_posterior,strict_masking,pi_1,0.75,0.0,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,development:401:FG+FW:strict_masking:0.75:0.00:0:greedy_gain,strict_masking,pi_1,0.75,0.0,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,development:401:FG+FW:strict_masking:0.75:0.00:0:end_to_end,strict_masking,pi_1,0.75,0.0,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,development:401:FG+FW:strict_masking:0.75:0.00:0:oracle,strict_masking,pi_1,0.75,0.0,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,development:401:FG+FW:strict_masking:0.75:0.05:0:qrtc,strict_masking,pi_1,0.75,0.05,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,development:401:FG+FW:strict_masking:0.75:0.05:0:random,strict_masking,pi_1,0.75,0.05,0.0,0.0,1.0,1.0999999999999999,False,-0.45,0.6499999999999999
cheapest_first,development:401:FG+FW:strict_masking:0.75:0.05:0:cheapest_first,strict_masking,pi_1,0.75,0.05,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,development:401:FG+FW:strict_masking:0.75:0.05:0:highest_stage_posterior,strict_masking,pi_1,0.75,0.05,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,development:401:FG+FW:strict_masking:0.75:0.05:0:greedy_gain,strict_masking,pi_1,0.75,0.05,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,development:401:FG+FW:strict_masking:0.75:0.05:0:end_to_end,strict_masking,pi_1,0.75,0.05,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,development:401:FG+FW:strict_masking:0.75:0.05:0:oracle,strict_masking,pi_1,0.75,0.05,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,development:401:FG+FW:strict_masking:0.75:0.10:0:qrtc,strict_masking,pi_1,0.75,0.1,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,development:401:FG+FW:strict_masking:0.75:0.10:0:random,strict_masking,pi_1,0.75,0.1,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
cheapest_first,development:401:FG+FW:strict_masking:0.75:0.10:0:cheapest_first,strict_masking,pi_1,0.75,0.1,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,development:401:FG+FW:strict_masking:0.75:0.10:0:highest_stage_posterior,strict_masking,pi_1,0.75,0.1,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,development:401:FG+FW:strict_masking:0.75:0.10:0:greedy_gain,strict_masking,pi_1,0.75,0.1,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,development:401:FG+FW:strict_masking:0.75:0.10:0:end_to_end,strict_masking,pi_1,0.75,0.1,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,development:401:FG+FW:strict_masking:0.75:0.10:0:oracle,strict_masking,pi_1,0.75,0.1,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,development:401:FG+FW:strict_masking:0.75:0.20:0:qrtc,strict_masking,pi_1,0.75,0.2,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,development:401:FG+FW:strict_masking:0.75:0.20:0:random,strict_masking,pi_1,0.75,0.2,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
cheapest_first,development:401:FG+FW:strict_masking:0.75:0.20:0:cheapest_first,strict_masking,pi_1,0.75,0.2,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,development:401:FG+FW:strict_masking:0.75:0.20:0:highest_stage_posterior,strict_masking,pi_1,0.75,0.2,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,development:401:FG+FW:strict_masking:0.75:0.20:0:greedy_gain,strict_masking,pi_1,0.75,0.2,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,development:401:FG+FW:strict_masking:0.75:0.20:0:end_to_end,strict_masking,pi_1,0.75,0.2,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,development:401:FG+FW:strict_masking:0.75:0.20:0:oracle,strict_masking,pi_1,0.75,0.2,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,development:401:FG+FW:strict_masking:1.00:0.00:0:qrtc,strict_masking,pi_1,1.0,0.0,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,development:401:FG+FW:strict_masking:1.00:0.00:0:random,strict_masking,pi_1,1.0,0.0,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
cheapest_first,development:401:FG+FW:strict_masking:1.00:0.00:0:cheapest_first,strict_masking,pi_1,1.0,0.0,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,development:401:FG+FW:strict_masking:1.00:0.00:0:highest_stage_posterior,strict_masking,pi_1,1.0,0.0,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,development:401:FG+FW:strict_masking:1.00:0.00:0:greedy_gain,strict_masking,pi_1,1.0,0.0,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,development:401:FG+FW:strict_masking:1.00:0.00:0:end_to_end,strict_masking,pi_1,1.0,0.0,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,development:401:FG+FW:strict_masking:1.00:0.00:0:oracle,strict_masking,pi_1,1.0,0.0,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,development:401:FG+FW:strict_masking:1.00:0.05:0:qrtc,strict_masking,pi_1,1.0,0.05,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,development:401:FG+FW:strict_masking:1.00:0.05:0:random,strict_masking,pi_1,1.0,0.05,0.0,0.0,1.0,1.0499999999999998,False,-0.4,0.6499999999999999
cheapest_first,development:401:FG+FW:strict_masking:1.00:0.05:0:cheapest_first,strict_masking,pi_1,1.0,0.05,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,development:401:FG+FW:strict_masking:1.00:0.05:0:highest_stage_posterior,strict_masking,pi_1,1.0,0.05,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,development:401:FG+FW:strict_masking:1.00:0.05:0:greedy_gain,strict_masking,pi_1,1.0,0.05,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,development:401:FG+FW:strict_masking:1.00:0.05:0:end_to_end,strict_masking,pi_1,1.0,0.05,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,development:401:FG+FW:strict_masking:1.00:0.05:0:oracle,strict_masking,pi_1,1.0,0.05,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,development:401:FG+FW:strict_masking:1.00:0.10:0:qrtc,strict_masking,pi_1,1.0,0.1,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,development:401:FG+FW:strict_masking:1.00:0.10:0:random,strict_masking,pi_1,1.0,0.1,0.0,0.0,1.0,1.0999999999999999,False,-0.45,0.6499999999999999
cheapest_first,development:401:FG+FW:strict_masking:1.00:0.10:0:cheapest_first,strict_masking,pi_1,1.0,0.1,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,development:401:FG+FW:strict_masking:1.00:0.10:0:highest_stage_posterior,strict_masking,pi_1,1.0,0.1,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,development:401:FG+FW:strict_masking:1.00:0.10:0:greedy_gain,strict_masking,pi_1,1.0,0.1,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,development:401:FG+FW:strict_masking:1.00:0.10:0:end_to_end,strict_masking,pi_1,1.0,0.1,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,development:401:FG+FW:strict_masking:1.00:0.10:0:oracle,strict_masking,pi_1,1.0,0.1,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,development:401:FG+FW:strict_masking:1.00:0.20:0:qrtc,strict_masking,pi_1,1.0,0.2,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
random,development:401:FG+FW:strict_masking:1.00:0.20:0:random,strict_masking,pi_1,1.0,0.2,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
cheapest_first,development:401:FG+FW:strict_masking:1.00:0.20:0:cheapest_first,strict_masking,pi_1,1.0,0.2,0.0,0.0,1.0,0.95,False,-0.3,0.6499999999999999
highest_stage_posterior,development:401:FG+FW:strict_masking:1.00:0.20:0:highest_stage_posterior,strict_masking,pi_1,1.0,0.2,0.0,0.0,1.0,1.15,False,-0.5,0.6499999999999999
greedy_gain,development:401:FG+FW:strict_masking:1.00:0.20:0:greedy_gain,strict_masking,pi_1,1.0,0.2,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
end_to_end,development:401:FG+FW:strict_masking:1.00:0.20:0:end_to_end,strict_masking,pi_1,1.0,0.2,0.0,0.0,1.0,0.9999999999999999,False,-0.35,0.6499999999999999
oracle,development:401:FG+FW:strict_masking:1.00:0.20:0:oracle,strict_masking,pi_1,1.0,0.2,0.0,0.0,0.0,0.0,True,0.6499999999999999,0.6499999999999999
qrtc,development:401:FG+FW:soft_masking:0.25:0.00:0:qrtc,soft_masking,pi_1,0.25,0.0,0.0,0.0,0.0,0.2500000000000001,True,0.6499999999999999,0.9
random,development:401:FG+FW:soft_masking:0.25:0.00:0:random,soft_masking,pi_1,0.25,0.0,0.0,0.0,1.0,1.35,False,-0.45,0.9
cheapest_first,development:401:FG+FW:soft_masking:0.25:0.00:0:cheapest_first,soft_masking,pi_1,0.25,0.0,0.0,0.0,1.0,1.2,False,-0.3,0.9
highest_stage_posterior,development:401:FG+FW:soft_masking:0.25:0.00:0:highest_stage_posterior,soft_masking,pi_1,0.25,0.0,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
greedy_gain,development:401:FG+FW:soft_masking:0.25:0.00:0:greedy_gain,soft_masking,pi_1,0.25,0.0,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
end_to_end,development:401:FG+FW:soft_masking:0.25:0.00:0:end_to_end,soft_masking,pi_1,0.25,0.0,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
oracle,development:401:FG+FW:soft_masking:0.25:0.00:0:oracle,soft_masking,pi_1,0.25,0.0,0.0,0.0,0.0,0.0,True,0.9,0.9
qrtc,development:401:FG+FW:soft_masking:0.25:0.05:0:qrtc,soft_masking,pi_1,0.25,0.05,0.0,0.0,0.0,0.2500000000000001,True,0.6499999999999999,0.9
random,development:401:FG+FW:soft_masking:0.25:0.05:0:random,soft_masking,pi_1,0.25,0.05,0.0,0.0,0.0,0.0,True,0.9,0.9
cheapest_first,development:401:FG+FW:soft_masking:0.25:0.05:0:cheapest_first,soft_masking,pi_1,0.25,0.05,0.0,0.0,1.0,1.2,False,-0.3,0.9
highest_stage_posterior,development:401:FG+FW:soft_masking:0.25:0.05:0:highest_stage_posterior,soft_masking,pi_1,0.25,0.05,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
greedy_gain,development:401:FG+FW:soft_masking:0.25:0.05:0:greedy_gain,soft_masking,pi_1,0.25,0.05,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
end_to_end,development:401:FG+FW:soft_masking:0.25:0.05:0:end_to_end,soft_masking,pi_1,0.25,0.05,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
oracle,development:401:FG+FW:soft_masking:0.25:0.05:0:oracle,soft_masking,pi_1,0.25,0.05,0.0,0.0,0.0,0.0,True,0.9,0.9
qrtc,development:401:FG+FW:soft_masking:0.25:0.10:0:qrtc,soft_masking,pi_1,0.25,0.1,0.0,0.0,0.0,0.2500000000000001,True,0.6499999999999999,0.9
random,development:401:FG+FW:soft_masking:0.25:0.10:0:random,soft_masking,pi_1,0.25,0.1,0.0,0.0,1.0,1.35,False,-0.45,0.9
cheapest_first,development:401:FG+FW:soft_masking:0.25:0.10:0:cheapest_first,soft_masking,pi_1,0.25,0.1,0.0,0.0,1.0,1.2,False,-0.3,0.9
highest_stage_posterior,development:401:FG+FW:soft_masking:0.25:0.10:0:highest_stage_posterior,soft_masking,pi_1,0.25,0.1,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
greedy_gain,development:401:FG+FW:soft_masking:0.25:0.10:0:greedy_gain,soft_masking,pi_1,0.25,0.1,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
end_to_end,development:401:FG+FW:soft_masking:0.25:0.10:0:end_to_end,soft_masking,pi_1,0.25,0.1,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
oracle,development:401:FG+FW:soft_masking:0.25:0.10:0:oracle,soft_masking,pi_1,0.25,0.1,0.0,0.0,0.0,0.0,True,0.9,0.9
qrtc,development:401:FG+FW:soft_masking:0.25:0.20:0:qrtc,soft_masking,pi_1,0.25,0.2,0.0,0.0,0.0,0.2500000000000001,True,0.6499999999999999,0.9
random,development:401:FG+FW:soft_masking:0.25:0.20:0:random,soft_masking,pi_1,0.25,0.2,0.0,0.0,1.0,1.35,False,-0.45,0.9
cheapest_first,development:401:FG+FW:soft_masking:0.25:0.20:0:cheapest_first,soft_masking,pi_1,0.25,0.2,0.0,0.0,1.0,1.2,False,-0.3,0.9
highest_stage_posterior,development:401:FG+FW:soft_masking:0.25:0.20:0:highest_stage_posterior,soft_masking,pi_1,0.25,0.2,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
greedy_gain,development:401:FG+FW:soft_masking:0.25:0.20:0:greedy_gain,soft_masking,pi_1,0.25,0.2,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
end_to_end,development:401:FG+FW:soft_masking:0.25:0.20:0:end_to_end,soft_masking,pi_1,0.25,0.2,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
oracle,development:401:FG+FW:soft_masking:0.25:0.20:0:oracle,soft_masking,pi_1,0.25,0.2,0.0,0.0,0.0,0.0,True,0.9,0.9
qrtc,development:401:FG+FW:soft_masking:0.50:0.00:0:qrtc,soft_masking,pi_1,0.5,0.0,0.0,0.0,0.0,0.2500000000000001,True,0.6499999999999999,0.9
random,development:401:FG+FW:soft_masking:0.50:0.00:0:random,soft_masking,pi_1,0.5,0.0,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
cheapest_first,development:401:FG+FW:soft_masking:0.50:0.00:0:cheapest_first,soft_masking,pi_1,0.5,0.0,0.0,0.0,1.0,1.2,False,-0.3,0.9
highest_stage_posterior,development:401:FG+FW:soft_masking:0.50:0.00:0:highest_stage_posterior,soft_masking,pi_1,0.5,0.0,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
greedy_gain,development:401:FG+FW:soft_masking:0.50:0.00:0:greedy_gain,soft_masking,pi_1,0.5,0.0,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
end_to_end,development:401:FG+FW:soft_masking:0.50:0.00:0:end_to_end,soft_masking,pi_1,0.5,0.0,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
oracle,development:401:FG+FW:soft_masking:0.50:0.00:0:oracle,soft_masking,pi_1,0.5,0.0,0.0,0.0,0.0,0.0,True,0.9,0.9
qrtc,development:401:FG+FW:soft_masking:0.50:0.05:0:qrtc,soft_masking,pi_1,0.5,0.05,0.0,0.0,0.0,0.2500000000000001,True,0.6499999999999999,0.9
random,development:401:FG+FW:soft_masking:0.50:0.05:0:random,soft_masking,pi_1,0.5,0.05,0.0,0.0,1.0,1.2,False,-0.3,0.9
cheapest_first,development:401:FG+FW:soft_masking:0.50:0.05:0:cheapest_first,soft_masking,pi_1,0.5,0.05,0.0,0.0,1.0,1.2,False,-0.3,0.9
highest_stage_posterior,development:401:FG+FW:soft_masking:0.50:0.05:0:highest_stage_posterior,soft_masking,pi_1,0.5,0.05,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
greedy_gain,development:401:FG+FW:soft_masking:0.50:0.05:0:greedy_gain,soft_masking,pi_1,0.5,0.05,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
end_to_end,development:401:FG+FW:soft_masking:0.50:0.05:0:end_to_end,soft_masking,pi_1,0.5,0.05,0.0,0.0,0.0,0.15000000000000002,True,0.75,0.9
